DATE,IP SOURCE,OWNER SOURCE,ID SOURCE,IP TARGET,STATE TARGET,TARGET OWNER,ID TARGET,INTRUSION METHOD,SUCCESS,LOG TRACE,VOTES CHANGED
11/01/2020 04:02:07,545.976.560.839,GMBH COMMERCIAL NET RCV,20:77:67:a3:bd:04,813.347.324.163,ARIZONA,SANTA CRUZ COUNTY,9c:ed:c5:0d:53:ed,FIREWALL,U, ,TRUMP: DOWN 36294
11/03/2020 22:39:23,797.943.964.569,200 WLS MOSCOW 200 BG CELLNAM HPO-SUITE,a5:f5:3b:f1:93:bc,827.317.255.801,ARIZONA,NAVAJO COUNTY ELECTION,34:fb:f4:1d:b2:60,CREDENTIALS,U,Y,TRUMP: DOWN 34440
11/04/2020 07:53:24,615.243.675.750,GU RU INFORMATION IP INFORMATION AVHJ-OU,5d:2c:eb:e6:62:a4,88.221.128.23,ARIZONA,GREENLEE COUNTY ELECTION,56:54:31:ac:41:d2,CREDENTIALS,N,Y,TRUMP: DOWN 38481
11/01/2020 14:16:10,139.217.786.98,WLS WUHAN RU SUITE HPO-SUITE SINGNET,86:c8:64:e3:32:5f,93.290.761.458,NEVADA,LINCOLN COUNTY ELECTION,f0:67:b2:81:b1:d9,BOTH,Y,Y,TRUMP: DOWN 26634
11/01/2020 23:24:21,364.639.378.310,NETW SERVER AVHJ-OU CHINA,07:53:d2:7e:9d:f1,415.26.486.275,MICHIGAN,WEXFORD COUNTY,f9:ec:93:c9:05:a4,CREDENTIALS,Y,Y,TRUMP: DOWN 4870
11/01/2020 15:27:37,32.448.924.582,NETW HPO-SUITE SBUH-187 COMM NETW CH,14:14:8a:27:ca:fb,181.705.389.938,ARIZONA,PIMA COUNTY,ea:b9:b5:14:fc:92,*,U,Y,TRUMP: DOWN 37048
11/03/2020 03:02:23,761.9.206.932,NET WUHAN TECHNOLOGY,ee:f0:2c:0e:cf:78,702.686.672.177,GEORGIA,PEACH COUNTY ELECTION,75:ef:77:50:e0:26,FIREWALL,N,Y,TRUMP: DOWN 46350
11/05/2020 18:42:15,627.631.801.936,COMM SWITCHBOARD SWITCHBOARD,51:54:7e:7d:a9:c1,807.428.598.810,NEVADA,CLARK COUNTY ELECTION,ae:4e:89:7e:19:cc,CREDENTIALS,Y,N,TRUMP: DOWN 35115
11/03/2020 01:49:26,868.992.325.793,LKL-21 COMM STATIC,15:71:13:f4:86:83,299.630.902.637,NEVADA,HUMBOLDT COUNTY ELECTION,bc:e4:7d:37:45:4a,FIREWALL, , ,TRUMP: DOWN 26220
11/05/2020 10:18:45,630.446.487.19,RCV TECH LTD,cc:03:52:40:2a:4e,374.613.37.686,ARIZONA,APACHE COUNTY ELECTION,fe:1d:f5:63:a5:8a,BOTH,U,Y,TRUMP: DOWN 23171
11/02/2020 06:22:36,634.58.608.477,GU SBUH-187 RCV SUITE,1e:87:71:4d:b0:ec,180.860.205.708,ARIZONA,SANTA CRUZ COUNTY ELECTION,d3:6c:19:f5:3e:59,CREDENTIALS,N,N,TRUMP: DOWN 49189
11/04/2020 06:31:40,742.278.390.953,RSV GB AVHJ-OU CHINA SUITE NETWORK NETWORK,99:dc:42:42:d1:2a,45.129.288.30,GEORGIA,BRYAN COUNTY ELECTION,e1:5a:ba:1e:73:2e,CREDENTIALS, , ,TRUMP: DOWN 46270
11/01/2020 04:51:21,503.994.711.373,SERVER TECHNOLOGY,0e:22:5f:e3:9d:e7,743.827.342.928,NEVADA,HUMBOLDT COUNTY ELECTION,9f:92:2f:91:ea:6e,BOTH,N,N,TRUMP: DOWN 42453
11/05/2020 23:52:01,39.907.730.716,CN AVHJ-OU SUITE ALLOYS TECHNOLOGY,a9:eb:e2:f9:99:06,226.864.491.685,MICHIGAN,ST. CLAIR COUNTY ELECTION,f4:de:d1:29:6f:46,FIREWALL,U, ,TRUMP: DOWN 46514
11/03/2020 15:56:04,554.579.797.421,LKL-21 ALLOYS SINGNET GB RU WLS NETLIN,93:61:90:1a:2d:4c,54.912.922.31,PENNSYLVANIA,MONROE COUNTY,1c:4c:52:ee:f5:ea,*,Y,N,TRUMP: DOWN 33521
11/04/2020 12:43:00,13.280.128.702,ETHN NETW NETWORK MOSCOW GB NETLIN,58:26:32:71:10:9e,622.511.946.216,PENNSYLVANIA,LACKAWANNA COUNTY,2b:06:ec:fb:4b:8c,CREDENTIALS,U, ,TRUMP: DOWN 38956
11/04/2020 06:49:43,903.580.196.920,IP ALK-143 INFRASTRUCTURE,98:21:4f:b4:a6:61,965.85.824.531,MICHIGAN,IONIA COUNTY,92:94:3f:e0:25:61,FIREWALL,Y, ,TRUMP: DOWN 40711
11/04/2020 07:56:30,939.746.471.519,TECH RSV SWITCHBOARD SUITE WLS SWITCHBOARD POOLS,0b:c9:88:a4:df:5d,582.32.225.934,GEORGIA,TOWNS COUNTY ELECTION,49:0b:79:48:cf:c9,CREDENTIALS,U,N,TRUMP: DOWN 23074
11/04/2020 08:44:15,431.386.155.700,HPO-SUITE 200,e1:90:db:70:e4:bb,676.959.369.408,MICHIGAN,WAYNE COUNTY ELECTION,57:4c:b8:50:20:4b,BOTH,U,N,TRUMP: DOWN 36567
11/01/2020 20:16:25,827.10.898.306,200 BG LKL-21 GU SBUH-187 NETWORK SUITE,0e:13:4e:41:be:5c,502.455.275.871,NEVADA,LYON COUNTY ELECTION,cb:bd:22:99:31:4e,BOTH,N,N,TRUMP: DOWN 45559
11/01/2020 00:23:11,66.647.74.304,COMMERCIAL NETLIN,98:9d:95:e8:0a:e6,36.636.552.311,GEORGIA,RANDOLPH COUNTY,72:03:28:20:56:1d,*, ,N,TRUMP: DOWN 29772
11/01/2020 12:58:52,638.305.742.864,INFRASTRUCTURE TECHNOLOGY CENTER,b7:50:33:ea:72:82,642.742.779.448,ARIZONA,NAVAJO COUNTY ELECTION,b3:75:65:8a:62:04,*,U,N,TRUMP: DOWN 32274
11/04/2020 14:19:32,959.538.572.857,ALK-143 WLS RU INFORMATION,79:2f:59:d3:e3:d4,685.429.265.515,ARIZONA,APACHE COUNTY,03:c4:c3:68:e0:5c,BOTH,N, ,TRUMP: DOWN 48255
11/01/2020 06:36:39,54.8.20.476,RU NETLIN RSV E-LEARNING,e1:08:27:12:65:7a,804.91.787.500,NEVADA,LINCOLN COUNTY ELECTION,32:1b:d4:64:2c:d1,BOTH, , ,TRUMP: DOWN 25406
11/01/2020 01:38:14,559.91.233.347,GMBH CHINA TECHNOLOGY,ba:94:ee:29:4a:a8,268.932.660.120,MICHIGAN,JACKSON COUNTY,50:f0:50:b8:86:d6,CREDENTIALS, ,Y,TRUMP: DOWN 17386
11/04/2020 14:26:16,36.488.208.294,CELLNAM SUITE NETLIN CENTER KJBHJD LTD SERVER,9a:be:26:a4:fd:55,891.75.123.883,GEORGIA,RABUN COUNTY,c3:7d:5e:40:c2:fe,FIREWALL, ,Y,TRUMP: DOWN 42523
11/05/2020 05:15:12,349.626.350.575,GB RU MOSCOW RCV MOSCOW,0e:e0:bb:03:96:83,71.531.684.162,ARIZONA,GRAHAM COUNTY,51:51:22:48:d1:bc,BOTH,U, ,TRUMP: DOWN 33315
11/01/2020 16:58:08,697.462.476.465,E-LEARNING LKL-21 WUHAN CH,c4:26:50:3c:f4:96,804.370.72.167,NEVADA,WASHOE COUNTY ELECTION,5f:d3:18:7a:c9:38,BOTH,U,Y,TRUMP: DOWN 9497
11/01/2020 08:02:53,55.612.806.654,CN TECHNOLOGY RSV COMMERCIAL TECH NETWORK CENTER,ea:5a:37:a9:a1:0e,599.687.615.965,MICHIGAN,CHIPPEWA COUNTY ELECTION,d7:b9:c1:72:0c:50,FIREWALL,Y, ,TRUMP: DOWN 29180
11/04/2020 05:55:43,911.15.644.204,CH WUHAN GU STATIC ONLINE,10:a5:5c:15:d9:18,519.305.533.249,GEORGIA,STEPHENS COUNTY ELECTION,8b:48:51:a4:61:23,BOTH,Y,Y,TRUMP: DOWN 12248
11/04/2020 03:07:10,293.102.126.258,ONLINE INFORMATION RU WLS WUHAN CN,7b:08:79:f9:e2:04,695.784.478.655,MICHIGAN,SHIAWASSEE COUNTY,72:d9:8f:0b:e3:c5,*,U,N,TRUMP: DOWN 49028
11/03/2020 07:20:28,619.70.81.217,MOSCOW LKL-21 MOSCOW,ba:52:a0:1e:81:c4,47.494.676.156,GEORGIA,CANDLER COUNTY ELECTION,c8:c4:19:60:07:ea,*,Y, ,TRUMP: DOWN 40051
11/05/2020 07:36:55,618.800.937.796,718 ETHN GMBH E-LEARNING NETW,21:7f:46:da:3c:31,96.683.168.343,GEORGIA,NEWTON COUNTY ELECTION,77:ce:0f:d9:e4:9d,CREDENTIALS,N, ,TRUMP: DOWN 45735
11/04/2020 02:11:40,201.287.969.535,NETWORK SERVER,e1:02:1a:8d:59:33,41.111.456.996,NEVADA,LANDER COUNTY ELECTION,5b:33:c3:70:27:a3,CREDENTIALS,N,N,TRUMP: DOWN 47627
11/05/2020 08:09:49,800.163.29.489,AVHJ-OU GU BEIJING GU,87:bb:60:27:0c:2e,547.692.168.294,NEVADA,WASHOE COUNTY,56:38:d5:27:6f:64,BOTH,Y, ,TRUMP: DOWN 18382
11/05/2020 17:48:51,370.789.134.452,HPO-SUITE 200 IP,c4:8b:3a:fb:3f:df,403.478.824.301,NEVADA,MINERAL COUNTY ELECTION,a4:c8:27:df:10:48,BOTH,U, ,TRUMP: DOWN 39526
11/04/2020 22:35:32,689.86.137.67,WEB HPO-SUITE INFRASTRUCTURE E-LEARNING RCV NETWORK SWITCHBOARD,69:4c:62:ef:51:0c,378.6.55.388,ARIZONA,GREENLEE COUNTY,99:a7:e2:c9:ff:6f,BOTH,N, ,TRUMP: DOWN 15585
11/01/2020 16:28:42,524.781.436.770,COMMERCE GMBH ETHN,0d:45:cb:b2:f0:d5,543.230.295.165,NEVADA,LYON COUNTY,71:47:ed:4f:2c:da,CREDENTIALS,U,N,TRUMP: DOWN 18558
11/01/2020 19:40:18,357.48.420.6,GMBH COMMERCE ONLINE CENTER COMMERCE INFRASTRUCTURE COMMERCIAL,8d:2e:00:30:da:b2,447.435.494.816,GEORGIA,WHEELER COUNTY,97:bf:13:2a:2f:7c,*,U,N,TRUMP: DOWN 27529
11/04/2020 06:11:26,415.296.487.412,INFORMATION JAPAN CENTER LKL-21 COMMERCIAL SUITE GMBH,4c:1f:a1:95:99:e1,803.498.813.182,MICHIGAN,CHARLEVOIX COUNTY,3f:e2:82:38:f0:48,CREDENTIALS,Y,N,TRUMP: DOWN 24275
11/02/2020 21:10:57,576.180.166.644,DATA WLS,54:96:80:55:24:d4,405.66.508.476,MICHIGAN,CHEBOYGAN COUNTY ELECTION,83:f3:92:cb:56:1a,CREDENTIALS,U, ,TRUMP: DOWN 5120
11/03/2020 11:31:01,543.602.645.639,WEB AVHJ-OU,6e:38:e8:a3:ec:f8,834.310.88.22,GEORGIA,BURKE COUNTY,97:dd:35:7b:8d:f0,CREDENTIALS,U, ,TRUMP: DOWN 18739
11/01/2020 09:19:59,559.260.174.182,CHINA NETLIN,2e:0d:d5:a2:70:d9,465.794.553.92,PENNSYLVANIA,ELK COUNTY,ad:58:b9:53:c8:a4,CREDENTIALS,N,N,TRUMP: DOWN 40230
11/01/2020 17:40:37,219.559.169.537,JAPAN WUHAN CH STATIC,0e:2b:7b:0f:d3:a0,801.959.599.996,ARIZONA,PINAL COUNTY,a4:e9:8c:84:b0:3f,BOTH,N, ,TRUMP: DOWN 22933
11/01/2020 05:14:47,201.481.765.712,CH STATIC SWITCHBOARD RU,33:ee:3b:d7:dc:0c,782.469.414.835,NEVADA,PERSHING COUNTY ELECTION,38:81:22:7a:fc:d9,FIREWALL,N, ,TRUMP: DOWN 43782
11/05/2020 02:03:58,25.650.442.33,COMMERCE ETHN ALK-143 SWITCHBOARD,57:90:2a:40:cf:79,494.420.819.758,GEORGIA,CLAYTON COUNTY ELECTION,3b:aa:83:4f:de:27,BOTH,N,Y,TRUMP: DOWN 22837
11/02/2020 02:47:24,304.968.704.189,POOLS RU GU LKL-21 COMM WEB,5b:65:af:29:ef:fd,729.953.572.180,ARIZONA,SANTA CRUZ COUNTY,75:87:cb:42:c3:fc,CREDENTIALS, , ,TRUMP: DOWN 10620
11/01/2020 10:05:07,947.647.239.302,RCV CELLNAM SERVER SBUH-187 E-LEARNING ALLOYS,a4:18:cd:c9:b6:11,919.277.903.403,GEORGIA,SEMINOLE COUNTY ELECTION,66:0f:fd:94:18:29,FIREWALL,N,Y,TRUMP: DOWN 11875
11/02/2020 10:26:18,997.23.388.637,LTD E-LEARNING INFORMATION,63:08:63:76:f9:f3,383.89.487.478,NEVADA,STOREY COUNTY,f1:a5:f3:52:cc:2f,CREDENTIALS, ,Y,TRUMP: DOWN 28148
11/03/2020 04:08:24,883.925.792.648,CN MOSCOW,16:c9:c4:4e:57:51,295.882.359.403,ARIZONA,YAVAPAI COUNTY ELECTION,28:f0:bc:90:70:18,BOTH,U,Y,TRUMP: DOWN 40907
11/01/2020 22:16:23,71.635.243.708,BEIJING INFORMATION RU BG TECHNOLOGY BG RU,8f:82:09:fb:70:5b,640.42.230.89,ARIZONA,GRAHAM COUNTY ELECTION,ec:3d:4d:dd:18:ae,BOTH, ,Y,TRUMP: DOWN 41761
11/04/2020 15:37:48,943.972.418.591,GB ADDRESSES BEIJING ALLOYS GMBH KJBHJD LTD,8a:3c:ce:22:09:31,604.746.154.699,PENNSYLVANIA,LUZERNE COUNTY ELECTION,00:c5:24:1f:83:fc,BOTH,N, ,TRUMP: DOWN 4670
11/01/2020 18:38:18,167.929.981.288,NET ALLOYS TECH RCV COMMERCE CN NETLIN,f9:d5:7f:49:de:e4,401.72.717.144,GEORGIA,GORDON COUNTY ELECTION,1b:b5:62:5f:e7:20,*, ,N,TRUMP: DOWN 20938
11/05/2020 23:13:00,169.189.725.90,JAPAN RCV,d2:5d:f1:bc:ca:58,891.615.756.797,MICHIGAN,MIDLAND COUNTY,86:3c:2c:58:ca:9b,FIREWALL, , ,TRUMP: DOWN 11493
11/04/2020 03:02:05,719.614.179.692,AVHJ-OU DATA WUHAN ALK-143 SBUH-187 718,b9:db:ec:98:41:78,894.436.713.714,NEVADA,WASHOE COUNTY,f7:96:c2:82:5d:2c,FIREWALL,N, ,TRUMP: DOWN 12201
11/03/2020 13:25:17,165.911.327.736,SWITCHBOARD CELLNAM TECHNOLOGY WLS LTD INFORMATION,96:ce:ea:c4:fd:17,960.486.778.976,MICHIGAN,BERRIEN COUNTY ELECTION,54:14:33:f5:ed:5d,CREDENTIALS,N,N,TRUMP: DOWN 24871
11/03/2020 15:19:05,308.966.506.468,RSV GB BG SERVER,54:b3:a2:ac:85:70,411.570.264.516,GEORGIA,LAURENS COUNTY,49:17:2f:9c:c6:d2,FIREWALL,Y,N,TRUMP: DOWN 39107
11/02/2020 01:18:21,193.39.940.34,JAPAN 718 NETWORK TECH ETHN CHINA WEB,07:0b:09:7b:bd:53,48.531.419.918,NEVADA,LYON COUNTY ELECTION,cd:74:a9:82:bd:4f,*, ,N,TRUMP: DOWN 14743
11/02/2020 17:16:16,670.762.47.248,INFORMATION BEIJING STATIC SERVER,ec:71:ca:25:36:4b,819.563.734.791,NEVADA,CHURCHILL COUNTY,fd:82:f5:e2:94:d6,FIREWALL,Y, ,TRUMP: DOWN 42825
11/02/2020 01:07:57,945.326.569.79,AVHJ-OU ADDRESSES CENTER NET SBUH-187,3a:2a:00:48:0a:0f,712.284.508.508,MICHIGAN,ALPENA COUNTY,cf:0f:c5:97:93:52,*,U,N,TRUMP: DOWN 36879
11/03/2020 02:56:16,790.307.512.175,AVHJ-OU POOLS,9c:ec:d9:52:d3:9a,747.201.524.849,ARIZONA,MOHAVE COUNTY,ee:ea:dc:c7:0e:b0,BOTH, ,N,TRUMP: DOWN 43935
11/02/2020 17:22:24,28.530.744.131,LTD NETWORK SERVER CHINA ALK-143 WUHAN RU,93:39:34:d0:dc:41,735.601.239.7,GEORGIA,CAMDEN COUNTY ELECTION,77:b2:32:e2:1c:f8,BOTH,Y,N,TRUMP: DOWN 9335
11/01/2020 09:08:47,380.642.530.862,STATIC COMMERCIAL CENTER WEB WLS LTD,58:8d:cd:3b:a6:d3,472.736.337.425,NEVADA,STOREY COUNTY,3d:3d:0c:93:d0:af,*,U, ,TRUMP: DOWN 34084
11/01/2020 08:44:35,635.202.804.566,MOSCOW HPO-SUITE GU GMBH INFORMATION,4f:ef:ee:be:9b:75,106.274.589.130,MICHIGAN,MONTCALM COUNTY ELECTION,7f:1e:3f:14:8f:f5,FIREWALL,Y, ,TRUMP: DOWN 36026
11/04/2020 07:22:22,726.658.500.564,POOLS CENTER,29:52:6a:e2:20:68,700.430.805.573,GEORGIA,HARRIS COUNTY ELECTION,2c:5d:61:2f:a1:0c,CREDENTIALS,N,Y,TRUMP: DOWN 1319
11/03/2020 01:23:33,277.658.488.965,RU BEIJING RSV,da:02:ad:42:ee:6c,316.467.8.986,ARIZONA,GILA COUNTY ELECTION,bd:d5:70:f6:be:43,FIREWALL, ,Y,TRUMP: DOWN 8128
11/01/2020 08:05:36,478.603.42.428,INFRASTRUCTURE CENTER TECH NET,49:4a:8d:89:fa:98,921.669.345.82,GEORGIA,LINCOLN COUNTY,8d:ec:19:6d:01:87,BOTH,N,N,TRUMP: DOWN 43951
11/05/2020 00:58:28,193.731.870.80,TECH ADDRESSES BEIJING IP NETLIN CELLNAM,d7:a8:59:fd:64:20,98.268.967.237,PENNSYLVANIA,SULLIVAN COUNTY,e2:81:4a:19:6b:81,FIREWALL, , ,TRUMP: DOWN 13825
11/01/2020 07:47:48,749.334.39.914,SUITE SINGNET LKL-21 BEIJING,fe:d1:78:fc:f0:ef,245.838.389.379,PENNSYLVANIA,MCKEAN COUNTY,ee:51:a6:40:0a:09,*, ,N,TRUMP: DOWN 2712
11/02/2020 05:12:14,923.901.881.985,COMMERCIAL CELLNAM BEIJING HPO-SUITE RU NETW,93:e3:09:04:27:e2,479.512.547.976,MICHIGAN,ISABELLA COUNTY ELECTION,a8:33:bd:17:b5:33,CREDENTIALS, ,N,TRUMP: DOWN 14736
11/01/2020 08:35:12,638.272.483.802,JAPAN NETW ONLINE,9a:17:26:73:70:43,263.455.518.716,NEVADA,EUREKA COUNTY ELECTION,44:20:07:33:d3:b7,FIREWALL, , ,TRUMP: DOWN 25950
11/02/2020 14:59:55,957.760.946.983,HPO-SUITE RSV,44:f4:7a:3b:89:f9,53.862.995.659,GEORGIA,TAYLOR COUNTY ELECTION,87:32:48:90:7e:9a,CREDENTIALS,U,Y,TRUMP: DOWN 32022
11/03/2020 10:49:37,847.546.621.103,IP 200 AVHJ-OU NETLIN WLS,a6:00:58:a9:c4:7a,633.88.5.115,PENNSYLVANIA,LEBANON COUNTY,a6:fc:4d:78:5f:4f,BOTH,Y,Y,TRUMP: DOWN 8035
11/01/2020 07:07:57,409.525.136.85,STATIC NETW CELLNAM SERVER,c9:c3:85:32:eb:c0,382.716.696.507,GEORGIA,NEWTON COUNTY,3c:2b:9c:11:94:59,FIREWALL,Y, ,TRUMP: DOWN 11269
11/02/2020 07:10:16,371.547.941.679,CELLNAM WEB,8a:83:5a:f3:48:83,551.623.567.155,MICHIGAN,ALPENA COUNTY ELECTION,d2:ad:33:6c:42:db,BOTH,Y, ,TRUMP: DOWN 46045
11/02/2020 16:35:41,512.85.40.212,KJBHJD LTD COMMERCIAL AVHJ-OU CH,db:db:1a:a2:3d:77,967.152.628.797,MICHIGAN,OSCODA COUNTY,9b:44:de:0c:4c:d5,CREDENTIALS,N,Y,TRUMP: DOWN 21499
11/05/2020 04:05:34,88.532.753.92,SWITCHBOARD CELLNAM,9f:6b:6e:7a:d1:fa,611.26.761.168,ARIZONA,YUMA COUNTY ELECTION,18:0e:49:7e:67:1e,*, ,Y,TRUMP: DOWN 29286
11/01/2020 15:12:02,451.953.286.363,SUITE SBUH-187,58:33:df:3c:14:80,398.673.177.412,GEORGIA,JENKINS COUNTY,26:bc:58:36:33:76,FIREWALL,N, ,TRUMP: DOWN 29178
11/03/2020 12:12:39,147.856.11.424,IP BEIJING INFRASTRUCTURE RCV COMM,d5:43:d5:ba:f5:90,756.351.271.501,NEVADA,ELKO COUNTY ELECTION,f1:6f:d1:51:9d:d5,*,Y,N,TRUMP: DOWN 3158
11/01/2020 06:47:04,263.639.586.269,LTD COMMERCE LTD GMBH TECHNOLOGY SINGNET TECHNOLOGY,41:76:f0:6c:2e:8b,140.479.718.826,MICHIGAN,DELTA COUNTY,4c:7b:50:09:3b:a0,*,U,Y,TRUMP: DOWN 21179
11/01/2020 21:52:14,966.967.273.107,RSV CELLNAM ALK-143,07:3c:9d:9a:58:b0,515.922.584.513,ARIZONA,PIMA COUNTY,47:5c:e4:7b:c3:88,FIREWALL,U,Y,TRUMP: DOWN 18808
